Batch,File,Line,Pattern,Original,Replaced,Verified
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1915,typeof(long); typeof(void),"			argumentTypeArray = [typeof(void), typeof(void), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Void, EraType.Void, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1972,typeof(long); typeof(void),"			argumentTypeArray = [typeof(void), typeof(void), typeof(void), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Void, EraType.Void, EraType.Void, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2029,typeof(string); typeof(void),"			argumentTypeArray = [typeof(string), typeof(void)];","			argumentTypeArray = [EraType.String, EraType.Void];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2044,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2082,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(string), typeof(string), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.String, EraType.String, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2104,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(string), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.String, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2138,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2162,typeof(long); typeof(void),"			argumentTypeArray = [typeof(void), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Void, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2180,typeof(long); typeof(void),"			argumentTypeArray = [typeof(void), typeof(long), typeof(void), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Void, EraType.Integer, EraType.Void, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,2210,typeof(string); typeof(void),"			argumentTypeArray = [typeof(string), typeof(string), typeof(void)];","			argumentTypeArray = [EraType.String, EraType.String, EraType.Void];",
